Sum of Life Ladder,Column Labels,,,,,,,,,,
Row Labels,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Grand Total
Argentina,6.441067219,6.775805473,6.468387127,6.582260132,6.671114445,6.69713068,6.427221298,6.039330006,5.792796612,,57.89511299
Australia,7.450047016,7.405616283,7.195585728,7.364169121,7.288550377,7.309060574,7.250080109,7.25703764,7.17699337,7.233994961,72.93113518
Azerbaijan,4.218610764,4.680469513,4.910771847,5.481178284,5.25153017,5.146774769,5.303894997,5.152279377,5.167995453,5.173389435,50.48689461
Bangladesh,4.858481407,4.985649109,4.724443913,4.660161018,4.635564804,4.633473873,4.5561409,4.309771061,4.499217033,5.114216805,46.97711992
Belarus,5.525923252,5.225307941,5.749043465,5.876466274,5.812400818,5.718907833,5.177899361,5.552915096,5.233769894,5.821453094,55.69408703
Bolivia,5.780620098,5.778874397,6.018894672,5.767428875,5.864798546,5.834329128,5.769723415,5.65055275,5.915734291,5.67427063,58.0552268
Brazil,6.837331295,7.037816525,6.660003662,7.140282631,6.980998993,6.546896935,6.374817371,6.332929134,6.190921783,6.451148987,66.55314732
Cambodia,4.141072273,4.161225319,3.898706913,3.674466848,3.88330555,4.162164688,4.461259365,4.585842133,5.121837616,4.998284817,43.08816552
Cameroon,4.554256916,4.433885098,4.244634151,4.271038055,4.240441322,5.037964821,4.816232204,5.07405138,5.250737667,4.936737537,46.85997915
Canada,7.650346279,7.426053524,7.415144444,7.593793869,7.30425787,7.412772655,7.244845867,7.414868355,7.175496578,7.1090765,73.74665594
Chad,3.742871046,4.393482208,4.03297472,3.507663012,3.460182905,4.322675228,4.029350281,4.558937073,4.486325264,4.250799179,40.78526092
Chile,6.63565588,6.526334763,6.599128723,6.74015379,6.844238281,6.532749653,6.579056263,6.320119381,6.436220646,5.942250252,65.15590763
China,4.652736664,5.037207603,5.094917297,5.241090298,5.195619106,5.303877831,5.32495594,5.099061489,5.131433964,5.144120216,51.22502041
Colombia,6.40811348,6.463952541,6.374879837,6.606550694,6.44878912,6.387571812,6.233715057,6.157341957,5.983512402,6.350297928,63.41472483
Costa Rica,7.271053791,7.228888512,7.272250175,7.158000469,7.247086048,6.854004383,7.135617733,7.22518158,7.141074657,6.997618675,71.53077602
Denmark,7.770515442,7.78823185,7.519909382,7.588606834,7.507559299,7.514424801,7.55778265,7.593702316,7.648785591,7.693003178,76.18252134
Dominican Republic,4.735021114,5.396535397,4.753311157,5.015515327,5.387331963,5.061862469,5.238698483,5.605202675,5.433215618,6.004237175,52.63093138
Ecuador,5.838051319,5.795088291,5.960716248,6.019206047,5.945851803,5.964075089,6.115437508,5.839518547,6.128010273,5.809131145,59.41508627
Egypt,4.668916225,4.174158573,4.204156876,3.558520317,4.885072708,4.762538433,4.556740761,3.929344177,4.005450726,4.327831745,43.07273054
El Salvador,6.739911079,4.741294861,5.934371471,6.325063229,5.856523514,6.018496037,6.139824867,6.339318275,6.241199493,6.454820633,60.79082346
Estonia,,5.486819744,5.363927841,5.367445946,5.55598259,5.628908634,5.649675369,5.938395977,6.091302395,6.034641266,51.11709976
Ethiopia,,,4.561168671,4.44482708,4.506646633,4.573154926,4.297848701,4.180315495,4.379262447,4.099555016,35.04277897
Finland,7.393264294,7.354225159,7.420209408,7.444635868,7.384571075,7.447925568,7.659843445,7.788251877,7.85810709,7.780347824,75.53138161
France,6.797901154,6.959185123,6.649365425,6.66712141,6.466867924,6.357625008,6.475208759,6.635222435,6.665903568,6.689644337,66.36404514
Gabon,,4.255400658,3.97205925,3.800287008,3.918073177,4.66101265,4.831764221,4.782382965,4.783009052,4.914393425,39.91838241
Gambia,,,,,,,,4.117938995,4.922099113,5.163627148,14.20366526
Georgia,4.101837158,4.203030586,4.254445553,4.348920822,4.287508011,4.121940613,4.448386192,4.45077467,4.659097195,4.89183569,43.76777649
Germany,6.724531174,6.621312141,6.702362061,6.965125084,6.984214306,7.037137508,6.873763084,7.074324608,7.118364334,7.035472393,69.13660669
Ghana,4.606251717,5.608199596,5.057261944,4.965053082,3.860351086,3.985916138,4.514411449,5.481310844,5.003693104,4.96680975,48.04925871
Greece,5.839558601,5.372039795,5.096354008,4.720251083,4.75623703,5.622519016,5.302619457,5.14824152,5.40928936,5.952157497,53.21926737
Guatemala,6.289748669,5.743353844,5.855717182,5.984601498,6.536030769,6.464986801,6.358916283,6.325118542,6.626591682,6.262175083,62.44724035
Guinea,,4.044569492,3.651554823,3.901793003,3.4124825,3.504693508,3.602854729,4.873722553,5.25222683,4.76768446,37.0115819
Haiti,3.76599884,4.844573975,4.413475037,4.62196207,3.888778448,3.569762468,3.352300167,3.823865652,3.614928007,,35.89564466
Honduras,5.866131306,4.961031437,4.602218151,4.713358402,5.055726051,4.845436573,5.648154736,6.019985676,5.908423901,5.930051327,53.55051756
Hong Kong S.A.R. of China,5.642834663,5.474010944,5.483764648,,5.458050728,,5.498420715,5.362474918,,5.659317017,38.57887363
Hungary,4.725132465,4.917602539,4.683358192,4.914466858,5.18056345,5.34438324,5.448901653,6.065038681,5.935770988,6.000259876,53.21547794
Iceland,,,7.590660095,7.501394272,,7.498070717,7.510034561,7.476213932,,7.532504559,45.10887814
India,4.989277363,4.634871483,4.720146656,4.427788734,4.424379349,4.342079163,4.179177284,4.046111107,3.818068743,3.24876976,42.83066964
Indonesia,5.457299232,5.172608376,5.36777401,5.292237759,5.597375393,5.04279995,5.136325359,5.098401546,5.340295792,5.346512794,52.85163021
Iran,,4.767507076,4.608927727,5.139579296,4.682224274,4.749955654,4.652730942,4.716783047,4.278117657,5.006145954,42.60197163
Iraq,5.065462112,4.725366116,4.659508705,4.725017071,4.541502476,4.493377209,4.412537098,4.462399006,5.099589825,,42.18475962
Ireland,7.257389545,7.006904125,6.964645386,6.760085106,7.018379211,6.830125332,7.04073143,7.060155392,6.962335587,7.254841328,70.15559244
Israel,7.358916283,7.433147907,7.110854626,7.320563316,7.400570393,7.07941103,7.159010887,7.331036091,6.92717886,,65.12068939
Italy,6.354238033,6.057086468,5.839313984,6.009373665,6.026585102,5.847683907,5.95452404,6.198870182,6.516526699,6.445416927,61.24961901
Ivory Coast,,,,3.739365578,3.570368528,4.445038795,4.542545795,5.037734985,5.26837492,5.392012119,31.99544072
Jamaica,,5.374446392,,5.708886623,5.310538769,,,5.889759064,,,22.28363085
Japan,6.056752682,6.262793541,5.968216419,5.959361553,5.922620773,5.879684448,5.954650879,5.910676479,5.793575287,5.908039093,59.61637115
Jordan,5.569942474,5.539327621,5.131996155,5.171952724,5.333021641,5.404593468,5.27128458,4.808082581,4.638933659,4.452548027,51.32168293
Kazakhstan,5.514286518,5.735662937,5.759469509,5.835483074,5.970097542,5.949995041,5.533551693,5.882351398,6.00763607,6.272268295,58.46080208
Kenya,4.255859375,4.405310154,4.547335148,3.795383215,4.904579639,4.357617855,4.396127701,4.475654125,4.655702591,4.618850231,44.41242003
Kosovo,5.17660141,4.859501839,5.639588356,6.125758171,5.000375271,5.077460766,5.759412289,6.149199963,6.391825676,6.425144196,56.60486794
Kuwait,6.798151016,6.377699375,6.221094608,6.480031013,6.180138588,6.146031857,5.947194576,6.093905449,,6.106119633,56.35036612
Kyrgyzstan,4.996410847,4.921049118,5.207785606,5.40242672,5.252192974,4.905375957,4.856534004,5.629536629,5.297383308,5.685220718,52.15391588
Laos,,4.703749657,4.876084805,,,,,4.623140812,4.85940218,5.196856022,24.25923348
Latvia,,4.966811657,5.125025272,5.069770336,5.729115486,5.880597591,5.940446377,5.977817535,5.901154041,5.969753742,50.56049204
Lebanon,5.031899452,5.187571526,4.572566986,4.983288765,5.233025551,5.171971321,5.27072382,5.153989792,5.167186737,4.024219513,49.79644346
Lesotho,,4.89751482,,,,,3.808204889,3.795300722,,3.5117805,16.01280093
Liberia,4.196063042,,,,4.571419239,2.701591253,3.354676008,4.424490929,4.134852886,5.121460915,28.50455427
Libya,,,5.754394054,,,5.615404606,5.43358326,5.646852493,5.493977547,5.33022213,33.27443409
Lithuania,5.065824986,5.43243742,5.771037102,5.595689297,6.125723839,5.711378098,5.865552425,6.272940636,6.308878899,6.064097881,58.21356058
Luxembourg,7.097251892,7.101400375,6.964097023,7.130809307,6.89112711,6.701571465,6.967340946,7.061380863,7.242630959,7.404015541,70.56162548
Macedonia,4.180202007,4.898180008,4.639647484,5.186190605,5.203825951,4.975589752,5.34574604,5.233866692,5.239834785,5.015485287,49.91856861
Madagascar,,4.381415367,3.550609589,3.815607071,3.675626993,3.592514038,3.663085938,4.078620434,4.070586681,4.339087486,35.1671536
Malawi,,3.946062565,4.279269695,4.035084248,4.563080311,3.86763835,3.476492643,3.416862965,3.334633589,3.869123697,34.78824806
Malaysia,5.580281734,5.786367416,5.914283752,5.770199776,5.962921619,6.322121143,,,5.338817596,5.427954197,46.10294723
Maldives,,,,,,,,,5.197574615,,5.197574615
Mali,3.762305021,4.666832924,4.313016891,3.676277161,3.974714279,4.582098484,4.016027927,4.741850376,4.415729523,4.98799181,43.1368444
Malta,5.77387476,6.154718399,5.962872028,6.379924774,6.45211792,6.61339426,6.590842247,6.675665855,6.909710884,6.73297739,64.24609852
Mauritania,4.772306919,4.784804344,4.673203945,4.199015141,4.482805252,3.922664165,4.472149372,4.678159714,4.313615322,4.152619362,44.45134354
Mauritius,,5.477073193,,,5.647779942,,5.610003471,6.174117565,5.88174057,6.241165161,35.0318799
Mexico,6.802388668,6.909515381,7.320185184,7.442546368,6.679831028,6.236287117,6.824172974,6.410299301,6.549578667,6.431945324,67.60675001
Moldova,5.589736462,5.792262554,5.995712757,5.75605917,5.917058468,6.017472267,5.577784061,5.325530529,5.682277203,5.803450584,57.45734406
Mongolia,4.585523605,5.031173706,4.885150433,4.912928104,4.824834824,4.982719898,5.056999683,5.333850384,5.464622974,5.562905312,50.64070892
Montenegro,5.455030441,5.223116875,5.218724251,5.074341774,5.282720566,5.124921322,5.304066181,5.614798546,5.650189877,5.386024952,53.33393479
Morocco,4.383247375,5.084972858,4.969656467,5.142160416,,5.163156986,5.38630724,5.312482834,4.896791935,5.056751728,45.39552784
Mozambique,,4.971111774,,,,4.549767494,,4.279863358,4.653713703,4.932132721,23.38658905
Myanmar,,,4.438939571,4.175670624,4.786247253,4.223846436,4.623119831,4.154341698,4.410633087,4.43423748,35.24703598
Namibia,,,,,4.573991299,,,4.441306114,4.834087849,4.435811043,18.28519631
Nepal,4.349675179,3.809444666,4.233244896,4.604576588,4.975014687,4.812436581,5.099539757,4.736692429,4.910086632,5.448724747,46.97943616
Netherlands,7.501875877,7.563797951,7.470715523,7.406550407,7.32118845,7.324437141,7.540877342,7.458965302,7.463097095,7.42526865,74.47677374
New Zealand,7.223756313,7.190638065,7.249629974,7.280151844,7.305892467,7.418120861,7.225687981,7.32718277,7.370285988,7.205174446,72.79652071
Nicaragua,5.68669939,5.385705471,5.448006153,5.772274971,6.275266647,5.924112797,6.012739658,6.476356506,5.81895256,6.112545013,58.91265917
Niger,4.101016045,4.555829525,3.798088312,3.716329813,4.180943489,3.671453714,4.234645844,4.615673542,5.164007187,5.003544331,43.0415318
Nigeria,4.760275841,,5.492954254,4.81786871,,4.932914734,5.219567776,5.321928024,5.252288342,4.356419086,40.15421677
North Cyprus,,,5.463305473,5.566802502,5.785978794,5.842550278,5.827127934,,5.608056068,5.4666152,39.56043625
Norway,,,7.678277016,,7.444470882,7.603433609,7.596331596,7.578744888,7.444262028,7.442139626,52.78765965
Oman,,6.852982044,,,,,,,,,6.852982044
Pakistan,5.786132813,5.267186165,5.131565094,5.138082504,5.435657978,4.823194981,5.548508167,5.830870628,5.471553802,,48.43275213
Palestinian Territories,4.702603817,4.751219749,4.646608353,4.844027996,4.721938133,4.695239067,4.906618118,4.62813282,4.5539217,4.48253727,46.93284702
Panama,7.3214674,7.24808073,6.859835625,6.86648035,6.631171227,6.605550289,6.117638111,6.567658901,6.281434059,6.085955143,66.58527184
Paraguay,5.841174126,5.677080631,5.820058346,5.936240673,5.118641853,5.559724331,5.801380157,5.71329546,,5.652625561,51.12022114
Peru,5.612785339,5.892457485,5.824557304,5.782557487,5.865815639,5.577263355,5.700628757,5.710936546,5.679661274,5.999381542,57.64604473
Philippines,4.941514015,4.993956566,5.001965046,4.976925373,5.312550068,5.547489166,5.430832863,5.594270229,5.869172573,6.267745018,53.93642092
Poland,5.887029648,5.646204948,5.87593174,5.746131897,5.750282288,6.007021904,6.162076473,6.201268196,6.111485004,6.24209404,59.62952614
Portugal,5.094525814,5.219997883,4.993962288,5.157688141,5.12691164,5.080866337,5.446637154,5.711499214,5.919822693,6.095473289,53.84738445
Qatar,6.849652767,6.591604233,6.611298561,,,6.374529362,,,,,26.42708492
Romania,4.909165859,5.02275753,5.166874886,5.081584454,5.726893425,5.777491093,5.96887064,6.089904785,6.150878906,6.129942417,56.024364
Russia,5.384773254,5.388766289,5.620735645,5.537177563,6.036976814,5.995538712,5.85494566,5.578742981,5.513500214,,50.91115713
Rwanda,,4.097435951,3.333047867,3.466387749,3.595678329,3.483108997,3.332989931,3.10837388,3.5610466,3.268152237,31.24622154
Saudi Arabia,6.307098389,6.699789524,6.396359444,6.495132923,6.27837801,6.345491886,6.473921299,6.294282436,6.356393337,6.561247349,64.2080946
Senegal,4.372156143,3.834201574,3.668736935,3.647367001,4.394777298,4.61700058,4.59453392,4.683024883,4.769377232,5.488736629,44.0699122
Serbia,4.461304188,4.815186501,5.154521942,5.101840496,5.112728596,5.317685127,5.752754688,5.122031212,5.936493397,6.241407394,53.01595354
Sierra Leone,4.133955956,4.501643658,,4.514291286,4.499970436,4.908617973,4.732953072,4.089562416,4.305683136,3.447381496,39.13405943
Singapore,6.531401634,6.561041832,,6.53320694,7.062364578,6.619524956,6.033480644,6.378437996,6.374564171,6.378359795,58.47238255
Slovakia,6.052223206,5.945048332,5.91105938,5.936527252,6.1388731,6.162004471,5.993163109,6.365509033,6.23511076,6.243428707,60.98294735
Slovenia,6.082555294,6.035964012,6.062891006,5.974888802,5.678395271,5.740642071,5.936821461,6.166837692,6.249419212,6.665273666,60.59368849
Somalia,,,,,5.528272629,5.353644848,4.667941093,,,,15.54985857
Somaliland region,4.657363415,4.930571556,5.057314396,,,,,,,,14.64524937
South Africa,4.652428627,4.930511475,5.133887768,3.660727262,4.828456402,4.887325764,4.769739628,4.513655186,4.8839221,5.034863472,47.29551768
South Korea,6.116024494,6.946599007,6.003286839,5.958809853,5.801325321,5.780211449,5.970564365,5.873887062,5.840231419,5.902816772,60.19375658
South Sudan,,,,,3.831992388,4.070771217,2.888112307,2.816622496,,,13.60749841
Spain,6.188262463,6.518249035,6.290690422,6.150027275,6.456477642,6.380663395,6.318612099,6.230173111,6.513370991,6.457449436,63.50397587
Sri Lanka,3.976905107,4.180569172,4.224593163,4.364694118,4.267932892,4.611606598,,4.330945492,4.435023785,4.213299274,38.6055696
Sudan,4.435159683,4.314456463,4.550499439,,4.138672829,,,,,,17.43878841
Suriname,,,6.269286633,,,,,,,,6.269286633
Swaziland,,4.867091179,,,,,,,4.211565018,4.396114826,13.47477102
Sweden,7.496018887,7.382232189,7.560147762,7.434010506,7.239147663,7.28892231,7.368744373,7.286804676,7.374792099,7.398092747,73.82891321
Switzerland,,,7.776208878,,7.492803574,7.572136879,7.458519936,7.473593235,7.508586884,7.69422102,52.97607041
Syria,4.464707851,4.037889481,3.164491177,2.687552929,,3.46191287,,,,,17.81655431
Taiwan Province of China,6.228530884,6.308915138,6.125916958,6.340344429,6.36349678,6.450088024,6.512850761,6.359450817,6.467004776,6.537089825,63.69368839
Tajikistan,4.380636215,4.262671471,4.496571541,4.966521263,4.896157742,5.124210835,5.103721142,5.829234123,5.497468948,5.464015484,50.02120876
Tanzania,3.229129076,4.073562145,4.006897449,3.852394819,3.483278513,3.660597324,2.90273428,3.347121239,3.445023298,3.640154839,35.64089298
Thailand,6.216702938,6.663609028,6.300235271,6.231024742,6.985463619,6.201762676,6.07363987,5.938895226,6.011561871,6.02215147,62.64504671
Togo,,2.936220884,,,2.83895874,3.768301964,3.878578424,4.360805035,4.022894859,4.179493904,25.98525381
Trinidad and Tobago,,6.518745899,,6.167706966,,,,6.191859722,,,18.87831259
Tunisia,5.130520821,4.87648201,4.463531017,5.245604992,4.763594627,5.131611824,4.521453381,4.124342918,4.741132259,4.315479755,47.3137536
Turkey,5.490347385,5.271944046,5.309076309,4.888177395,5.579794407,5.514465332,5.326221943,5.607262135,5.185689449,4.87207365,53.04505205
Turkmenistan,,5.791754723,5.463827133,5.391762733,5.787379265,5.791460037,5.887051582,5.229148865,4.620601654,5.474299908,49.4372859
Uganda,4.192882061,4.826001167,4.309237957,3.709578753,3.769919157,4.237686634,4.233261108,4.000516891,4.321714878,4.948051453,42.54885006
Ukraine,5.057561398,5.083132744,5.030342102,4.710802555,4.297329903,3.964542866,4.028690338,4.311067104,4.661909103,4.701762199,45.84714031
United Arab Emirates,7.097455502,7.118701458,7.217766762,6.620951176,6.539854527,6.568397522,6.83095026,7.039419651,6.603743553,6.710782528,68.34802294
United Kingdom,7.029364109,6.869248867,6.880784035,6.918055058,6.758147717,6.515445232,6.8242836,7.103273392,7.233445168,7.157151222,69.2891984
United States,7.16361618,7.115138531,7.026226997,7.249285221,7.151114464,6.863946915,6.803599834,6.9917593,6.882684708,6.943701267,70.19107342
Uruguay,6.062010765,6.554047108,6.449728489,6.444464684,6.561443806,6.628080368,6.171485424,6.336009979,6.371714592,6.600337029,64.17932224
Uzbekistan,5.095342159,5.738744259,6.019331932,5.939986229,6.049212456,5.972364426,5.892539024,6.421447754,6.205460072,6.154049397,59.48847771
Venezuela,7.47845459,6.579789162,7.066577435,6.552796364,6.136096478,5.568800449,4.041114807,5.070750713,5.005663395,5.080803394,58.58084679
Vietnam,5.295780659,5.767344475,5.53456974,5.022698879,5.084923267,5.076315403,5.062267303,5.175278664,5.295547009,5.467451096,52.7821765
Yemen,4.35031271,3.746255636,4.060600758,4.217678547,3.967957973,2.982673883,3.825630903,3.253560066,3.057513952,4.196912766,37.65909719
Zambia,,4.99911356,5.013374805,5.243995667,4.345837116,4.843164444,4.347543716,3.932777405,4.041488171,3.306796551,40.07409144
Zimbabwe,4.681569576,4.845641613,4.955100536,4.690187931,4.184450626,3.70319128,3.7354002,3.63830018,3.616479874,2.693523169,40.74384499
Grand Total,594.8622217,683.574863,678.035603,649.3326492,678.5824709,687.1349087,677.1405857,711.3372161,691.7633526,688.0342295,6739.7981
